     ID      FirstName          LastName     Score
    1878           Aaron          Aadhya         0
    8635      Abdulkarim          Aahana         0
   12160        Abdullah        Aariketh         0
    9980        Abdullah           Aania         0
   18381            Abel           Aasha         0
   25683         Abraham           Aasia         0
   31256           Adams            Aavi         0
   39501          Adolph           Aayan         0
   46530         Adolphe       Abdirahim         1
   48127       Agamemnon      Abdulhamid         1
   65822           Ahmad          Abisai         1
   57351           Ahmad           Abena         1
   84441           Ahmed           Abria         1
  123193              Al          Acacia         1
   85247              Al        Abygayle         1
  127741        Albatros           Adael         1
  130903        Albrecht         Adalyna         1
  145268            Aldo            Adan         2
  159223         Aldrich           Adein         2
  146800         Aldrich          Addley         2
  163402            Alex         Adilene         2
  168995          Alexei           Adler         2
  170991         Alfonso           Adley         2
  172933         Alfonzo        Adrianne         2
  176673        Algernon          Adriel         2
  181523             Ali         Advitha         2
  186693           Allah        Agostino         2
  196045           Allin         Aishani         3
  189234           Allin          Aharon         3
  199873           Allyn          Akacia         3
  217297          Alonzo           Akiem         3
  225446          Ambros          Akriti         3
  230339         Ambrose             Ala         4
  232447       Ambrosius            Alaa         4
  240650           Amory          Alarik         4
  248865            Amos          Alayja         4
  255766         Anatoly         Alegria         4
  256025          Anders          Aleila         4
  265457          Andrey         Aleiyah         4
  283835            Andy        Algernon         4
  270615            Andy         Alfredo         4
  266177            Andy            Alem         4
  290632           Angel         Alhasan         4
  297668           Ansel         Alishba         4
  332114          Ansell            Alla         4
  309343          Ansell         Aliveah         4
  339428          Anselm          Allana         5
  352754          Antoni          Alleah         5
  362367        Antonius           Allia         5
  363330          Archon            Alma         5
  392306           Archy           Amadi         5
  391342           Archy          Almira         5
  388096           Archy       Almadelia         5
  432727          Armand          Amiira         5
  440470       Armstrong         Amileah         6
  442994         Arnoldo            Amir         6
  533815            Aron          Amirra         6
  534216           Arron            Ammi         6
  551703           Arvie          Anahli         7
  537244           Arvie           Ammie         7
  552821            Arvy           Anaia         7
  555098             Ash          Anaisa         7
  566193          Ashish           Anari         7
  573782             Aub            Anay         7
  583331        Augustin           Andie         7
  584981        Augustus            Andy         7
  607095          Austin           Anees         8
